us-east-1;us-west-1;us-west-2;eu-west-1;eu-central-1;ap-northeast-1;ap-northeast-2;ap-southeast-1;ap-southeast-2;sa-east-1
107;35;49;99;56;78;48;40;76;44
15;2;12;26;16;13;1;16;29;13
16;12;9;20;10;0;2;22;174;13
15;2;12;26;16;13;1;16;29;13
16;12;9;20;10;0;2;22;174;13
16;12;9;20;10;0;2;22;174;13
15;2;12;26;16;13;1;16;29;13
16;12;9;20;10;0;2;22;174;13
107;35;49;99;56;78;48;40;76;44
107;35;49;99;56;78;48;40;76;44
107;35;49;99;56;78;48;40;76;44
107;35;49;99;56;78;48;40;76;44
15;2;12;26;16;13;1;16;29;13
107;35;49;99;56;78;48;40;76;44
107;35;49;99;56;78;48;40;76;44
107;35;49;99;56;78;48;40;76;44
107;35;49;99;56;78;48;40;76;44
107;35;49;99;56;78;48;40;76;44
107;35;49;99;56;78;48;40;76;44
16;12;9;20;10;0;2;22;174;13
16;12;9;20;10;0;2;22;174;13
16;12;9;20;10;0;2;22;174;13
15;2;12;26;16;13;1;16;29;13
15;2;12;26;16;13;1;16;29;13
15;2;12;26;16;13;1;16;29;13
15;2;12;26;16;13;1;16;29;13
107;35;49;99;56;78;48;40;76;44
15;2;12;26;16;13;1;16;29;13
15;2;12;26;16;13;1;16;29;13
107;35;49;99;56;78;48;40;76;44
107;35;49;99;56;78;48;40;76;44
107;35;49;99;56;78;48;40;76;44
15;2;12;26;16;13;1;16;29;13
16;12;9;20;10;0;2;22;174;13
107;35;49;99;56;78;48;40;76;44
16;12;9;20;10;0;2;22;174;13
16;12;9;20;10;0;2;22;174;13
15;2;12;26;16;13;1;16;29;13
15;2;12;26;16;13;1;16;29;13
107;35;49;99;56;78;48;40;76;44
107;35;49;99;56;78;48;40;76;44
15;2;12;26;16;13;1;16;29;13
107;35;49;99;56;78;48;40;76;44
16;12;9;20;10;0;2;22;174;13
107;35;49;99;56;78;48;40;76;44
16;12;9;20;10;0;2;22;174;13
16;12;9;20;10;0;2;22;174;13
16;12;9;20;10;0;2;22;174;13
15;2;12;26;16;13;1;16;29;13
107;35;49;99;56;78;48;40;76;44
