us-east-1;us-west-1;us-west-2;eu-west-1;eu-central-1;ap-northeast-1;ap-northeast-2;ap-southeast-1;ap-southeast-2;sa-east-1
22;18;36;20;0;23;26;18;35;38
29;20;33;19;0;23;22;14;40;26
35;0;21;67;54;47;111;35;43;1
28;19;32;22;0;20;22;14;0;30
0;32;49;0;0;25;147;27;62;39
30;15;32;77;50;120;141;24;0;39
22;0;7;16;0;0;57;18;0;1
17;0;9;52;40;0;5;21;33;19
10;6;29;41;6;0;12;30;13;24
8;15;34;48;0;0;10;19;5;19
17;0;9;52;40;0;5;21;33;19
0;0;6;13;0;0;0;16;0;4
26;19;33;46;0;16;12;12;49;27
0;0;6;13;0;0;0;16;0;4
64;79;90;76;41;53;42;40;4;60
12;7;25;34;0;2;14;1;21;22
19;5;24;3;0;9;12;5;0;18
22;0;7;16;0;0;57;18;0;1
30;15;32;77;50;120;141;24;0;39
22;1;17;47;11;19;15;35;45;18
17;0;9;52;40;0;5;21;33;19
19;13;24;7;0;3;21;6;28;19
29;20;33;19;0;23;22;14;40;26
0;0;17;39;0;0;58;16;12;5
22;0;7;16;0;0;57;18;0;1
24;25;45;0;0;107;114;25;0;19
30;11;30;14;0;11;26;12;34;25
17;0;9;52;40;0;5;21;33;19
35;0;21;67;54;47;111;35;43;1
28;19;32;22;0;20;22;14;0;30
16;4;8;81;56;0;0;16;12;7
1;0;8;67;41;58;28;32;14;25
8;0;18;10;0;0;6;18;0;2
35;14;30;27;0;15;73;33;26;15
22;1;17;47;11;19;15;35;45;18
24;25;45;0;0;107;114;25;0;19
8;0;18;10;0;0;6;18;0;2
1;0;8;67;41;58;28;32;14;25
13;7;24;3;0;20;11;3;0;23
12;7;25;34;0;2;14;1;21;22
19;13;24;7;0;3;21;6;28;19
30;11;30;14;0;11;26;12;34;25
27;17;34;75;49;15;22;15;11;25
11;3;26;9;0;11;123;8;4;20
64;79;90;76;41;53;42;40;4;60
0;0;0;0;0;0;84;0;0;0
35;19;35;48;0;10;79;11;55;33
35;14;30;27;0;15;73;33;26;15
35;14;30;27;0;15;73;33;26;15
19;9;21;11;0;6;17;7;0;29
