us-east-1;us-west-1;us-west-2;eu-west-1;eu-central-1;ap-northeast-1;ap-northeast-2;ap-southeast-1;ap-southeast-2;sa-east-1
3;0;0;3;4;24;6;5;0;27
9;0;8;7;10;31;24;8;2;16
28;12;26;20;20;31;41;0;6;28
25;14;16;15;23;26;37;0;6;24
10;5;12;8;15;27;24;0;0;22
2;0;6;3;3;18;14;10;0;1
23;7;17;12;15;32;31;19;2;32
28;12;26;20;20;31;41;0;6;28
10;12;11;14;19;9;40;0;4;22
28;12;26;20;20;31;41;0;6;28
0;0;6;4;9;2;14;0;0;25
17;8;24;16;18;33;17;65;1;29
105;103;108;114;116;89;116;78;84;119
19;17;20;14;13;26;33;27;9;34
14;6;11;12;12;27;33;51;0;15
7;0;8;5;6;33;16;17;0;12
18;10;16;7;10;38;35;28;12;26
19;12;15;17;19;34;39;0;9;30
14;6;20;9;15;28;22;47;0;17
22;15;15;15;19;27;34;18;14;22
17;8;24;16;18;33;17;65;1;29
0;0;0;0;9;0;0;0;0;46
2;0;0;4;13;30;20;11;25;11
18;16;22;14;11;40;33;20;7;14
43;34;54;47;41;22;21;13;28;55
9;2;10;6;7;15;28;5;0;13
34;25;31;30;28;35;38;0;17;47
24;19;35;20;29;63;47;80;16;40
0;0;6;4;9;2;14;0;0;25
8;10;11;7;9;29;37;0;14;34
22;8;26;20;23;24;28;0;7;36
34;11;22;18;19;39;27;0;25;25
49;54;68;64;68;0;35;0;57;72
2;0;0;4;13;30;20;11;25;11
8;1;8;7;11;22;20;56;0;17
0;0;0;2;7;27;8;43;14;37
14;7;16;11;15;13;28;27;7;33
23;7;17;12;15;32;31;19;2;32
16;1;11;7;10;27;17;49;0;25
0;0;1;5;7;17;19;19;0;15
15;8;25;16;23;38;58;0;7;25
34;11;22;18;19;39;27;0;25;25
54;43;60;48;48;0;65;15;31;50
30;22;30;30;32;0;23;0;22;35
25;30;34;29;26;42;44;73;13;46
11;6;11;16;14;25;35;23;6;19
18;13;18;14;13;26;20;22;2;27
17;8;24;16;18;33;17;65;1;29
7;0;8;5;6;33;16;17;0;12
17;10;25;22;20;26;26;56;6;25
