us-east-1;us-west-1;us-west-2;eu-west-1;eu-central-1;ap-northeast-1;ap-northeast-2;ap-southeast-1;ap-southeast-2;sa-east-1
10;0;10;2;5;22;29;0;11;26
0;0;0;6;0;0;0;19;0;0
0;0;6;8;3;29;16;26;1;6
91;87;101;101;95;103;127;69;86;117
0;0;3;6;0;11;20;17;0;13
15;9;12;23;15;35;43;5;17;39
10;8;17;19;12;23;30;0;5;27
15;9;12;23;15;35;43;5;17;39
0;0;3;6;0;11;20;17;0;13
0;0;7;8;2;21;24;27;0;14
10;12;13;20;17;31;33;0;4;53
0;0;4;5;0;28;24;61;0;15
0;0;10;5;0;14;25;25;0;7
48;59;68;57;50;28;75;3;36;68
17;18;29;23;14;30;35;36;3;36
52;45;65;59;57;0;77;42;49;59
10;12;13;20;17;31;33;0;4;53
91;87;101;101;95;103;127;69;86;117
0;0;7;8;2;21;24;27;0;14
0;0;0;6;0;0;0;19;0;0
10;12;15;19;13;33;38;36;2;34
10;8;17;19;12;23;30;0;5;27
0;0;4;6;0;17;22;51;0;7
0;6;6;5;0;24;17;0;0;3
0;0;10;5;0;14;25;25;0;7
0;6;6;5;0;24;17;0;0;3
0;0;6;8;3;29;16;26;1;6
10;12;13;20;17;31;33;0;4;53
52;45;65;59;57;0;77;42;49;59
0;0;4;5;0;28;24;61;0;15
10;8;17;19;12;23;30;0;5;27
10;12;13;20;17;31;33;0;4;53
0;0;0;9;1;11;15;24;0;25
0;6;6;5;0;24;17;0;0;3
0;0;10;5;0;14;25;25;0;7
15;9;12;23;15;35;43;5;17;39
3;3;3;0;2;11;37;0;0;7
0;0;0;6;0;0;0;19;0;0
52;45;65;59;57;0;77;42;49;59
0;0;0;9;1;11;15;24;0;25
0;0;0;9;1;11;15;24;0;25
52;45;65;59;57;0;77;42;49;59
8;1;21;18;9;27;32;18;0;13
0;0;7;8;2;21;24;27;0;14
0;0;0;9;1;11;15;24;0;25
10;8;17;19;12;23;30;0;5;27
0;0;4;6;0;17;22;51;0;7
0;0;4;5;0;28;24;61;0;15
5;15;3;8;2;29;34;26;0;9
3;3;3;0;2;11;37;0;0;7
