us-east-1;us-west-1;us-west-2;eu-west-1;eu-central-1;ap-northeast-1;ap-northeast-2;ap-southeast-1;ap-southeast-2;sa-east-1
5;7;22;15;13;20;7;13;0;9
23;11;23;34;29;26;29;24;43;15
24;9;24;33;32;26;32;23;44;14
8;0;4;9;12;10;18;7;0;4
18;13;20;25;27;23;26;33;3;19
17;6;19;28;24;10;9;20;0;15
46;12;24;42;40;30;11;32;3;29
8;0;4;9;12;10;18;7;0;4
35;22;27;43;30;47;30;45;14;8
8;0;4;9;12;10;18;7;0;4
17;6;19;28;24;10;9;20;0;15
23;11;23;34;29;26;29;24;43;15
17;6;19;28;24;10;9;20;0;15
20;3;22;17;18;31;17;23;0;10
5;7;22;15;13;20;7;13;0;9
20;3;22;17;18;31;17;23;0;10
18;13;20;25;27;23;26;33;3;19
24;16;20;29;30;0;9;16;0;26
17;6;19;28;24;10;9;20;0;15
5;0;3;11;8;7;10;12;0;23
17;6;19;28;24;10;9;20;0;15
35;22;27;43;30;47;30;45;14;8
18;2;19;16;18;20;16;30;0;11
7;0;20;0;11;0;10;0;9;44
7;0;20;0;11;0;10;0;9;44
18;13;20;20;16;13;11;16;4;2
14;7;26;17;15;25;13;27;0;15
18;13;20;25;27;23;26;33;3;19
18;13;20;20;16;13;11;16;4;2
3;0;0;0;0;0;0;0;0;40
8;0;4;9;12;10;18;7;0;4
16;5;19;12;27;14;35;19;0;15
5;0;3;11;8;7;10;12;0;23
8;0;4;9;12;10;18;7;0;4
23;11;23;34;29;26;29;24;43;15
7;0;20;0;11;0;10;0;9;44
18;13;20;20;16;13;11;16;4;2
8;0;4;9;12;10;18;7;0;4
5;0;3;11;8;7;10;12;0;23
24;9;24;33;32;26;32;23;44;14
35;22;27;43;30;47;30;45;14;8
8;0;4;9;12;10;18;7;0;4
14;7;26;17;15;25;13;27;0;15
24;9;24;33;32;26;32;23;44;14
18;2;19;16;18;20;16;30;0;11
13;2;10;28;18;13;13;19;37;2
8;0;4;9;12;10;18;7;0;4
18;13;20;20;16;13;11;16;4;2
5;7;22;15;13;20;7;13;0;9
18;13;20;20;16;13;11;16;4;2
