us-east-1;us-west-1;us-west-2;eu-west-1;eu-central-1;ap-northeast-1;ap-northeast-2;ap-southeast-1;ap-southeast-2;sa-east-1
14;1;0;13;14;22;6;28;0;23
20;0;0;21;17;8;6;23;3;59
7;7;0;5;2;16;16;16;0;19
19;0;0;14;15;2;4;12;0;21
10;2;0;7;13;16;5;17;10;16
16;0;0;13;11;6;13;13;0;33
14;3;0;4;3;11;14;13;0;15
15;5;3;13;11;8;0;0;0;19
11;11;4;6;6;7;3;7;0;15
13;0;0;9;7;1;8;8;0;25
13;8;0;11;16;9;11;6;0;12
13;2;0;14;13;11;10;16;0;11
16;6;2;7;4;19;15;19;12;27
81;72;73;88;83;71;81;74;69;81
5;0;0;0;0;13;9;22;0;23
7;2;1;2;0;17;27;26;0;26
19;1;0;23;18;6;9;14;0;16
13;2;0;14;13;11;10;16;0;11
20;11;0;16;15;17;86;19;5;21
3;3;0;1;0;15;14;14;0;4
16;0;0;11;9;5;22;14;0;20
21;0;0;17;18;5;11;18;0;21
3;3;0;1;0;15;14;14;0;4
81;72;73;88;83;71;81;74;69;81
5;6;0;0;0;27;12;19;0;6
40;29;30;48;39;44;41;34;11;24
19;13;5;6;3;22;30;20;0;11
17;14;9;17;15;15;14;27;0;0
13;8;0;11;16;9;11;6;0;12
3;7;0;0;0;11;13;12;0;19
16;0;0;13;11;6;13;13;0;33
8;0;0;13;15;8;14;6;1;12
20;0;1;13;11;0;0;1;0;18
8;6;1;24;4;38;22;25;0;12
39;37;27;61;63;57;43;69;25;31
16;0;0;30;22;10;4;6;0;20
15;5;3;13;11;8;0;0;0;19
3;7;0;0;0;11;13;12;0;19
16;0;0;11;9;5;22;14;0;20
13;0;0;9;14;0;10;3;0;17
10;5;1;12;11;14;6;18;8;28
19;0;0;26;19;4;2;8;0;28
11;7;0;11;11;12;11;13;0;32
22;0;0;28;20;13;0;2;0;17
22;0;0;18;16;5;4;22;0;34
17;0;0;15;14;0;17;14;0;23
20;0;0;23;25;11;13;26;0;38
12;0;0;12;10;6;1;11;3;25
7;7;0;5;2;16;16;16;0;19
15;14;18;22;20;14;14;25;0;7
