us-east-1;us-west-1;us-west-2;eu-west-1;eu-central-1;ap-northeast-1;ap-northeast-2;ap-southeast-1;ap-southeast-2;sa-east-1
26;2;8;11;0;18;16;18;12;16
7;4;4;0;5;8;4;18;4;15
2;2;7;6;3;22;24;15;9;9
28;5;11;10;8;8;9;24;15;7
0;32;12;6;0;38;25;47;26;7
2;2;7;6;3;22;24;15;9;9
0;0;6;0;0;13;0;14;8;10
0;10;15;6;3;44;17;49;23;12
0;4;7;1;0;19;12;18;1;12
26;2;8;11;0;18;16;18;12;16
26;2;8;11;0;18;16;18;12;16
0;6;11;14;9;24;23;27;17;3
0;32;12;6;0;38;25;47;26;7
0;1;5;3;0;13;26;20;24;7
0;0;4;0;0;7;19;18;10;5
0;0;4;0;0;14;26;19;6;4
0;24;13;0;0;31;39;37;22;0
0;6;11;14;9;24;23;27;17;3
0;7;3;2;0;26;21;12;3;2
10;28;25;19;16;29;28;23;41;21
0;9;12;1;16;33;52;26;14;10
0;10;15;6;3;44;17;49;23;12
9;14;20;19;12;24;33;34;25;13
0;0;4;0;0;14;26;19;6;4
0;0;4;0;0;7;19;18;10;5
0;0;7;0;0;9;0;23;13;14
0;0;8;7;2;18;0;24;0;9
28;5;11;10;8;8;9;24;15;7
0;32;12;6;0;38;25;47;26;7
0;7;3;2;0;26;21;12;3;2
0;24;12;2;0;38;33;50;61;12
0;0;7;7;2;18;21;18;15;6
0;14;19;0;0;39;20;43;39;0
1;0;8;24;8;16;32;24;0;15
0;0;6;0;0;13;0;14;8;10
0;0;4;0;0;7;19;18;10;5
0;32;12;6;0;38;25;47;26;7
0;6;11;14;9;24;23;27;17;3
0;24;12;2;0;38;33;50;61;12
19;13;18;21;15;21;35;37;23;16
0;4;7;1;0;19;12;18;1;12
19;13;18;21;15;21;35;37;23;16
0;6;11;14;9;24;23;27;17;3
0;7;3;2;0;26;21;12;3;2
0;0;4;0;0;7;19;18;10;5
0;0;7;9;1;15;0;25;2;22
0;9;12;1;16;33;52;26;14;10
0;1;5;0;0;15;25;11;18;12
0;10;15;6;3;44;17;49;23;12
0;6;11;14;9;24;23;27;17;3
